id	Tweet
5019	#PARCC bring back the math NJASK! it is a fair assessment unlike the PARCC which tests reading comprehension instead of math skills!
5020	my honors algebra class rated the PARCC ridiculous! main complaint was confusing and poorly worded questions. sad #PARCC
5023	Standardized Tests won't ever measure critical thinking @palan57 @BadassTeachersA #TBATS #pearsoniswatching pic.twitter.com/QxgpnQXuAl
5037	#BastaYa! Hay unas preguntas que no tienen logico. Exactly. #optout Please watch and share far and wide. https://www.youtube.com/watch?v=94LQQz18MbI&app=desktop�__�_
5042	. @lisarudley says the tests are flawed and therefore they provide flawed feedback to parents teachers districts and NYS #optout
5063	Math Consultant: Smarter Balanced Math Tests Have 'Egregious Flaws' http://ln.is/blogs.edweek.org/edw/ZpAlk�__�_ via @educationweek #edchat #cpchat #CCSS #SBAC
5066	@erickalenze @MichaelPetrilli @JonahEdelman Yes... Sound evidence. Basic psychometric soundness data 4 #PARCC remains conspicuously absent.
5067	@erickalenze @MichaelPetrilli @JonahEdelman Evidence based practices=premised on demonstrably sound evidence (which #PARCC scores are not).
5072	@keithleger1 @LouisianaStand No data is better than bad data. Who wins in #optout ? Teachers students schools.. #morethanascore #FSA
5074	No one else gets to see tests @abney45: Who's scoring the test? Whoever they can find. http://curmudgucation.blogspot.com/2015/03/whos-scoring-test.html?spref=tw&m=1�__�__ѝ @ABQschools #PARCC #NM #EdChat"
5077	30 minutes in and the test isn't functioning for anyone this is Reynoldsburg schools for ya. #PARCC #parcctest
5083	@BSPARCCAnwsers a high stakes test designed to engineer school failure is not comparable to any other test. Opt Out. @esanzi @fnoschese
5094	@thausman TY for your admission about students being confused when taking the #SBAC questions. #waleg #waedu
5095	@GoogleForEdu I'd rather have my school spend $$$ on airconditioning arts and paper pencil tests than the unvalid #PARCC test.
5098	It's testing season. 70%-97% will fail. Time to #OptOut now! https://www.youtube.com/watch?v=fEv2PMS47hs�__�_ @JessedHagopian @DianeRavitch @UnitedOptOut
5101	@CMZR yep when writing clear and concisely is valued everywhere except #PARCC yet they can predict future success. I don't think so! #KISS
5102	#PARCC #SBAC know their tests are bad. That's why teachers not allowed to look. http://bit.ly/1CMSQW7 #TBATSpic.twitter.com/j3wX9EEgur
5109	I #optoutbecause the #PARCC tests are RIGGED FOR FAILURE and not because they are hard. #StopCommonCore #trishmustgo @NYGovCuomo @NTampio
5112	It's testing season. Kids are sitting ducks: built in 70% failure rates #pearsoniswatching https://twitter.com/ONDERALACA/status/509064648599953408/photo/1pic.twitter.com/mXSzLnpKOQ @BadassTeachersA #TBATS
5113	So my cousin supposedly said that the PARCC test is as unorganized as the collapse of the Soviet Union. Lol #PARCC
5127	. @NTampio @DataDiva #NCLB law reqs use of demonstrably reliable & valid tests. Such data=notably absent 4 #PARCC so doesn't meet legal reqs.
5135	@HuffPostEdu Yes refuse the tests that only measure anything your socioeconomic level. #StopCommonCore #optout
5143	. @examinercom Think standardized tests are meaningful? When was the last time you asked your physician for his SAT scores? #optout
5182	#SBAC Math Test Not Immune To Problems Either http://missourieducationwatchdog.com/sbac-math-test-not-immune-to-problems-either/�__�_ #stopcommoncore #nced
5185	Day 2 of #PARCC SUCKS! My straight A 8th grdr said the test was BS yesterday.Things she was taught 2 years ago in Math&doesn't use everyday
5190	@PARCCPlace How is it possible that an UNSUCCESSFUL test can prepare students for success? #PARCC is not working #pearson #noparcc
5212	#pearsoniswatching #PARCC #SBAC Too many Questions. YOU take the tests! You'd flunk #TBATS pic.twitter.com/x6zF6fo4pQ @BadassTeachersA
5217	I refuse to have @pearson flawed test be part if my evaluation. You can't evaluate me. #pearsoniswatching #evaluatethis #justletmeteach
5221	Who's monitoring whether #PARCC & #SBAC are valid? BTW what do these tests" measure . @PearsonNorthAm? . @NetworkPublicEd . @LIOptOut"
5222	Who's monitoring whether #PARCC & #SBAC are valid? BTW what do these tests" measure . @PearsonNorthAm? . @lacetothetop . @UnitedOptOut"
5223	Who's monitoring whether #PARCC & #SBAC are valid? BTW what do these tests" measure . @PearsonNorthAm? . @AFTunion . @nysut . @AQE_NY"
5224	@HuffPostEdu yes #optout. I've seen the NYS #pearson Common Core tests & they r poorly constructed the scores unreliable poor measurement.
5225	Who's monitoring whether #PARCC & #SBAC are valid? BTW what do these tests" measure . @PearsonNorthAm? @Lily_NEA . @edvotes . @NEAToday"
5235	Merryl Tisch if feedback from tests is vital why can't I see the exam and know which questions each student got wrong. #PARCC #nysape
5236	@HuffPostEdu @FLGOPMajority Yes b/c the curriculum is narrow - only subjects tested are taught! #parcc #pearson #suspendfsa
5244	NYSUT's Magee: Teachers Want Meaningful Tests Evaluations http://lohud.us/1MFJ9d6�_ via @lohud #PARCC #Pearson #JustSayNoToCuomo
5246	@PARCCPlace Reflect? Or measure? Your test doesn't teach anything. That's a sales pitch. How well does it measure? Do you care? #PARCC
5248	@HuffPostEdu I did. It's excessive & poorly/prematurely implemented. High stakes is cruel & counter-productive we want no part of it #optout
5257	@HuffPostEdu Of course I would opt out! An inappropriate test is a terrible method to use in deciding if my child is progressing. #optout
5259	@NancyOsborne180 @BadassTeachersA Teachers probably can't see #PARCC since it's full of errors - guarantees low scores w/teachers to blame.
5264	Millions of children sit in front of screens trying to muddle through a clumsy interface and weeks of testing. #TheWalkingDead #PARCC
5269	Question #pearsoniswatching Why are you making #PARCC so hard? High stake misery @BadassTeachersA #TBATSpic.twitter.com/vY5VHMU013
5279	@nyschoolboards Why should our kids take the test before they are fixed"? #OptOut #PEARSON."
5285	@NicholasFerroni @LesaWilbert #satchat #PARCC I'm becoming more skeptical because it doesn't seem so student centered as intended or sold
5043	So my third grader won't get to see her #PARCC exam results? #wtf Massachusetts? Maybe next year we will suggest a #PARCCWALKOUT
5056	I know what I'd like to tell them: #optout and study for AP exams that actually matter. @mieducation @BadassTeachersA @SmarterBalanced
2205	Only when an educated group of parents takes a stand against this colossal waste of time will anything change" - #optout movement grows"
2031	Ps who agree w ASA that the data is useless will #optout and the @charteralliance can compete w each other for test scores. @ninacharters
2073	I will steer my own children away from any college placing faith in #PARCC #SBAC as readiness & placement measures. http://www.edcentral.org/course-placement/ …
