id	Tweet
5012	RT #optout Yes its s choice & its yours parentskidsteachers @DMace8 @GetUpStandUp2 @BadassTeachersA @julieinjaxpic.twitter.com/Rqkq7XCYQH
5017	#optout chants! @McFiredogg: Parents Know/ What is Best/Break the Machine/Refuse the Tests.""
5022	_��@PrivacyRightsIL: Reason number 3487 to #homeschool. pic.twitter.com/LkIHkbfQGF_ѝ #edchat #parcc #CommonCore #tyranny #craycray @DianeRavitch
5030	But if parents rose up�_en masse&spoke out against toxic testing it would end tomorrow #optout #refuse http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/24/not-my-daughter-how-one-dad-opted-out-his-kindergartner-from-standardized-testing/�__�_ @UnitedOptOut
5044	This North Country school joins others in the region respecting parental right to #optout http://www.mymalonetelegram.com/mtg01/ccs-notifies-parents-about-opting-out-of-common-core-testing--20150324�__�_ @nysut
5053	I #optoutbecause I believe in #localcontrol. My kids teachers know my children better than Albany. @NYGovCuomo @NTampio @UFT @nysut #PARCC
5059	@cherkies @michellemalkin not surprised. In ky we're bing told we can't opt out of testing! What! They are our kids our choice!
5103	Parents know better than anyone else what is best for their children #PARCC #CommonCore http://m.nydailynews.com/opinion/alyssa-katz-mother-common-core-breaking-point-article-1.2157400?cid=bitly�__�_
5108	Another round of PARCC coming to mess w/your children NM.Or you can OptOut https://creativesystemsthinking.wordpress.com/2015/03/13/why-opting-out-from-parcc-is-important/�__�_. We advise #optout grades 3-8 @ABQschools
5142	So guns on campus are an individual right but not parents' decision to #optout. Interesting @FloridaGOP http://www.tampabay.com/news/politics/stateroundup/controversial-campus-guns-bill-advances-in-florida-senate/2221607�__�_ via @TB_Times
5178	Parents should be outraged. Common Core tests results in New York are highly arbitrary. #PARCC #newsday https://lacetothetop.wordpress.com/2015/03/17/nys-corrupt-common-core-test-scores/�__�_
5179	@pearson my children will never take your test and you will never invade my family's privacy #noparccing #pearsoniswatching
5181	@Montel_Williams we as parents have the right to opt our children out of these insane tests #Pearson1984 #parcc pic.twitter.com/Lt43FV2eH1
5188	I feel like Cuomo lit a fire and is sittin back and watching and that is why he needs to see #optout #calloutcuomo #refusethetest
5194	@333sparkle #PARCC #EvilProfiteersPearson #SBAC #pearsonisbigbrother #Pearson because I can and we won't comply #refusePARCC
5226	#Optout? Homeschoolers were doing that before it was cool. #homeschool #privacy
5245	@HuffPostEdu Allow? I would encourage opting out. Actually I would refuse because they're minors. My child my choice. #pearsoniswatching
